,abstracts_headlines,section_name,cohen_kappa_label,cohen_kappa_label_label2,cohen_kappa_range_none_to_slight,cohen_kappa_range_fair,cohen_kappa_range_moderate,cohen_kappa_range_substantial,cohen_kappa_range_almost_perfect,cohen_kappa_range_nan,cohen_kappa_label_v2
19,report guttmacher institute found million abortions nationwide women turning away surgical abortion falling years abortion rate levels choosing medication surgery,0,0.2,0.2,1,0,0,0,0,0,0.2
20,attack tucson latest wave america endless ocean violence flood tide murder,1,0.49,0.5,0,0,1,0,0,0,0.49
21,united states main trouble china economy probably intellectual property theft followed protectionist barriers trade real problem china,0,0.2,0.2,1,0,0,0,0,0,0.2
22,response article noncitizen women give birth united states birthright citizenship,1,0.2,0.2,1,0,0,0,0,0,0.2
23,democratic retreat gun control may helped alter political discourse issue democrats give gun control debate,0,0.2,0.2,1,0,0,0,0,0,0.2
24,agreement russia united states cooperate closely civilian nuclear power hailed sides sign recent thaw relations bearing fruit russia nuclear deal takes effect,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
25,tied national oceanic atmospheric administration reports indicating global warming continues unabated photo finish warmest year record,0,0.2,0.2,1,0,0,0,0,0,0.2
26,national weather service report says army corps engineers communicated better floodwaters approached nashville u agencies sync flooding nashville,0,0.2,0.2,1,0,0,0,0,0,0.2
27,real strategic challenge chinese fighter aircraft china focus education china winning schools,1,0.2,0.2,1,0,0,0,0,0,0.2
28,operations israel dimona complex among strongest clues stuxnet computer worm american israeli project sabotage iranian nuclear program israeli test worm called crucial iran nuclear delay,0,0.4,0.4,0,1,0,0,0,0,0.4
29,response paul krugman column divisions within united states civility among centrists,1,0.2,0.2,1,0,0,0,0,0,0.2
30,halfway term nation first african american president little sign improvement dramatically unequal life prospects black children president speech especially poignant king holiday,0,0.4,0.4,0,1,0,0,0,0,0.4
31,first interview since major surgery former vice president dick cheney also predicts barack obama one term president cheney considering heart transplant,0,0.2,0.2,1,0,0,0,0,0,0.2
32,mexico send envoy meet president elect lincoln springfield lincoln mexican visitor,1,0.2,0.2,1,0,0,0,0,0,0.2
33,palin stirs passions among many people could problematic someone national ambitions chicken egg media sarah palin,0,0.8,0.8,0,0,0,1,0,0,0.8
34,taiwan tested missiles tuesday mixed results six missiles missed mark taiwan tests missiles results mixed,0,0.2,0.2,1,0,0,0,0,0,0.2
35,white house doubt hoping visit white house president hu jintao goes better last one white house looks avoid gaffes chinese visit,0,0.2,0.2,1,0,0,0,0,0,0.2
36,lawyers gulet mohamed sued federal government called inclusion fly list unconstitutional teenager held kuwait may able return u soon,0,0.5,0.5,0,0,1,0,0,0,0.5
37,american companies concerned beat china backed businesses given president obama support pursue tough approach president hu jintao u shifts focus press china market access,0,0.4,0.4,0,1,0,0,0,0,0.4
38,father son work together book called along way journey along ancient pilgrimage path spain martin sheen emilio estevez plan memoir,0,0.2,0.2,1,0,0,0,0,0,0.2
39,government granted least illegal immigrants haiti right stay united states homeland continues earthquake recovery effort u sees success immigration program haitians,0,0.4,0.4,0,1,0,0,0,0,0.4
40,advice interest groups across political spectrum president obama say state union address mr president say tuesday night,0,0.2,0.2,1,0,0,0,0,0,0.2
41,judge refused overturn single count terror suspect convicted ghailani terrorism conviction affirmed,0,0.4,0.4,0,1,0,0,0,0,0.4
42,referring large american corporations china president told executives china many cases biggest source profits global operations china u businesses see gains deeper ties,0,0.19,0.2,1,0,0,0,0,0,0.19
43,google android platform closes iphone apple decide offer successful phone multiple carriers apple put iphone carriers,0,0.2,0.2,1,0,0,0,0,0,0.2
44,china net seller treasury securities according government figures raised speculation channeling purchases british accounts data shows less buying u debt china,0,0.4,0.4,0,1,0,0,0,0,0.4
45,u men national team plays first match saturday night chile carson calif game scheduled kick p eastern available spanish language network espn broadband service u men set debut,0,0.2,0.2,1,0,0,0,0,0,0.2
46,thucydides knew fear trap states war president obama hu seemed take lesson last week superpower upstart sometimes ends well,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
47,united states opened schedule saturday night draw chile home depot center carson calif u mixx dax max,0,0.4,0.4,0,1,0,0,0,0,0.4
48,first person accounts three americans recruited georgian government teach english american voices far home,0,0.2,0.2,1,0,0,0,0,0,0.2
49,new initiative brings together french american scholars artists writers building bridges french american artists scholars,0,0.2,0.2,1,0,0,0,0,0,0.2
50,veteran climate scientist grandfather become climate campaigner presses president abandon special interests nasa hansen presses obama carbon cost nuclear push,1,0.2,0.2,1,0,0,0,0,0,0.2
51,year end letter investors john paulson tracks next phase several large bets firm paulson company profited subprime mortgage crisis paulson recaps big bets year end letter,0,0.2,0.2,1,0,0,0,0,0,0.2
52,airports public places requiring relatively free access security matter improving safety ensuring nature airports risks,0,0.2,0.2,1,0,0,0,0,0,0.2
53,ahead new tax filing season tax collectors push another program persuade wealthy americans declare offshore bank accounts nd r amnesty offshore accounts,0,0.5,0.5,0,0,1,0,0,0,0.5
54,secretary state hillary rodham clinton visited country deliver message solidarity president felipe calder n rebut public doubts persistent violence clinton voices u support mexico trip,0,0.2,0.2,1,0,0,0,0,0,0.2
55,scientists pursuing ideas drastic decline sea ice arctic might playing role pattern frigid temperatures snow ice points south frigid winters polar vortex,0,0.7,0.7,0,0,0,1,0,0,0.7
56,new national academy sciences report names smoking lack universal health insurance obesity inequality also mentioned possibilities americans live longer,0,0.2,0.2,1,0,0,0,0,0,0.2
57,higher rates gun ownership linked higher homicide rates correlation equal causation science life firearms research cause often missing element,0,0.2,0.2,1,0,0,0,0,0,0.2
58,four young student innovators get prime seating tonight state union address student innovators featured state union speech,1,0.2,0.2,1,0,0,0,0,0,0.2
59,lower chamber russian parliament easily ratified new start nuclear arms control treaty key policy goal obama administration arms treaty takes crucial step forward russia,0,0.51,0.5,0,0,1,0,0,0,0.51
60,tunisia egypt lebanon administration grappling volatile forces already realigned region political landscape region unrest scrambles u foreign policy,0,0.4,0.4,0,1,0,0,0,0,0.4
61,president obama headed wisconsin wednesday state union address obama heads heartland speech,0,0.2,0.2,1,0,0,0,0,0,0.2
62,president obama said united states productive workers bureau labor statistics says norway ireland productive even productive americans,0,0.2,0.2,1,0,0,0,0,0,0.2
63,new study suggests employer based coverage survive prospects private health insurance,0,0.2,0.2,1,0,0,0,0,0,0.2
64,man group publicly traded british hedge fund manager hired miriam tai head united states consultant relations hire man group aims bolster u presence,0,0.2,0.2,1,0,0,0,0,0,0.2
65,examine mixed race family trees submitted readers listen describe families submit mixed america family trees,0,0.2,0.2,1,0,0,0,0,0,0.2
66,response op ed change government tunisia could affect countries middle east u role mideast,1,0.2,0.2,1,0,0,0,0,0,0.2
67,united states economy larger ever thanks large part government spending measured g p major member european union managed american economy bigger ever,0,0.2,0.2,1,0,0,0,0,0,0.2
68,united states economy larger ever thanks large part government spending measured g p major member european union managed american economy bigger ever,0,0.2,0.2,1,0,0,0,0,0,0.2
69,obama build state union message speech explaining energy quest necessary obama climate speech,1,0.5,0.5,0,0,1,0,0,0,0.5
70,percentage workers car pool dropped almost half since according data census bureau confounding efforts urban planners popular car pools go way hitchhiking,0,0.2,0.2,1,0,0,0,0,0,0.2
71,singapore one thing teach america getting governance right serious singapore,1,0.7,0.7,0,0,0,1,0,0,0.7
72,multiracial biracial students use strength growing numbers affirm roots portrayed tragic pitiable rejecting color lines,0,0.7,0.7,0,0,0,1,0,0,0.7
73,many young adults mixed backgrounds rejecting color lines defined americans generations black white asian young americans choose,0,0.2,0.2,1,0,0,0,0,0,0.2
74,chart showing america poorest rich india richest haves nots,0,0.5,0.5,0,0,1,0,0,0,0.5
75,choice send frank g wisner raised questions whether white house using prod president hosni mubarak resign u official egypt ties meet mubarak,0,0.2,0.2,1,0,0,0,0,0,0.2
76,days mounting unrest egypt turned delicate public relations challenge white house egypt poses p r challenge new white house team,0,0.4,0.4,0,1,0,0,0,0,0.4
77,population illegal immigrants leveled peaking million pew hispanic center finds million illegal immigrants u report says change,0,0.4,0.4,0,1,0,0,0,0,0.4
78,dozens states texas wisconsin saw snow ice stop falling replaced cold snap much nation digs freeze sets,0,0.7,0.7,0,0,0,1,0,0,0.7
79,evercore partners reported fourth quarter profit million million period year earlier results topped wall street expectations evercore quarterly profit rises nearly,0,0.2,0.2,1,0,0,0,0,0,0.2
80,agreed raise funding non governmental organizations independent media conference wednesday organized polish government u e u join show support belarus opposition,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
81,reader submitted query seeking progress report u women national team prepares women world cup germany summer women game new world order,0,0.4,0.4,0,1,0,0,0,0,0.4
82,widespread highly accurate temperature observations began mid th century global coverage obtained th century scanty record hurts modern climatology many ways rescuing earth weather history,0,0.2,0.2,1,0,0,0,0,0,0.2
83,twice yearly report congress treasury department said value renminbi low accuse china manipulating currency china currency avoids manipulated ruling,0,0.2,0.2,1,0,0,0,0,0,0.2
84,young americans far less white older generations shift political social consequences census young americans increasingly diverse,0,0.2,0.2,1,0,0,0,0,0,0.2
85,president obama needs push forward important trade deal south korea despite capitol hill balking trade follies,1,0.5,0.5,0,0,1,0,0,0,0.5
86,letter editor regarding universal health care mexico united states health care mexico u,1,0.2,0.2,1,0,0,0,0,0,0.2
87,amid egyptian crisis television pundits aggrandized american inventions twitter facebook wallflowers revolution,1,0.2,0.2,1,0,0,0,0,0,0.2
88,miss best political quotes weekend caucus rundown favorites best political quotes weekend,0,0.2,0.2,1,0,0,0,0,0,0.2
89,justice department officials said liu wen sold secrets trying sell million authorities uncovered scheme ex dow scientist convicted selling secrets china,0,0.2,0.2,1,0,0,0,0,0,0.2
90,lacking better options united states encouraging vice president omar suleiman make changes government resisted years egypt u weighs push change stability,0,0.2,0.2,1,0,0,0,0,0,0.2
91,four former white house press secretaries dee dee myers michael mccurry ari fleischer dana perino discussed job george washington university secrets white house press secretaries,0,0.2,0.2,1,0,0,0,0,0,0.2
92,rhinos poached country triple amount radar rhino poachers killed south africa,0,0.4,0.4,0,1,0,0,0,0,0.4
93,reports nicolas anelka impending move major league soccer wildly overstated one representatives said anelka l fast,0,0.2,0.2,1,0,0,0,0,0,0.2
94,israel saudi arabia jordan united arab emirates pressed united states cut egypt president loose hastily allies press u go slow egypt,0,0.4,0.4,0,1,0,0,0,0,0.4
95,canadian hockey players increasingly considering playing n c hockey recruiting efforts increased battle across border recruiting,0,0.2,0.2,1,0,0,0,0,0,0.2
96,growing threat radicalized american citizens extremists living country officials say lawmakers hear threat domestic terrorists,0,0.2,0.2,1,0,0,0,0,0,0.2
97,ralph appelbaum associates design exhibits new national museum african american history culture exhibit designer chosen museum african american history culture,0,0.2,0.2,1,0,0,0,0,0,0.2
98,letter editor regarding possible shortages united states labor force elder care workers,1,0.5,0.5,0,0,1,0,0,0,0.5
99,review performances american players move european soccer leagues last weekend yanks abroad little traveling music,0,0.4,0.4,0,1,0,0,0,0,0.4
100,letter editor regarding loans holocaust art russia united states russia u art diplomatic weapon,1,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
101,democratic party offered web video contrasts rhetoric cpac president obama state union address last month video democrats take aim rhetoric cpac,0,0.2,0.2,1,0,0,0,0,0,0.2
102,late night comedy sunday morning talk shows sampling political conversation best political quotes weekend,0,0.2,0.2,1,0,0,0,0,0,0.2
103,readers respond column bob herbert democracy america state democracy,1,0.2,0.2,1,0,0,0,0,0,0.2
104,valentine day couples took part u naturalization ceremony held auditorium federal building lower manhattan love new country,0,0.5,0.5,0,0,1,0,0,0,0.5
105,dispute broke two countries shipment material united states air force plane argentina accuses u sneaking cargo,0,0.2,0.2,1,0,0,0,0,0,0.2
106,cit group lender emerged bankruptcy reported profit million fourth quarter percent drop third quarter cit profit falls fourth quarter,0,0.2,0.2,1,0,0,0,0,0,0.2
107,gunmen northern mexico killed agent united states immigration customs enforcement wounded another signaling escalating risk american officials fighting mexican crime gangs american immigration agent killed gunmen mexico,0,0.39,0.4,0,1,0,0,0,0,0.39
108,gunmen mexico knew shooting american customs immigration agents killing one wounding reason attack unclear mexicans knew shot u agents,0,0.2,0.2,1,0,0,0,0,0,0.2
109,war drugs foments violence poor countries poor cities united states economist writes dumping violence poor,0,0.71,0.7,0,0,0,1,0,0,0.71
110,administration must decide harshly condemn friendly leader resisting protests unrest bahrain presents diplomatic puzzle obama,0,0.5,0.5,0,0,1,0,0,0,0.5
111,disrespect jefferson egypt showed us blood patriots tyrants better left unspilled blood,1,0.2,0.2,1,0,0,0,0,0,0.2
112,united states seizure argentina last week american military equipment saying approached planned joint police training program clear commitment respect applicable argentine law argentina u intended respect argentine law,0,0.2,0.2,1,0,0,0,0,0,0.2
113,lady gaga new single born way released last friday fastest selling song itunes history million downloads around world five days sales record lady gaga,0,0.2,0.2,1,0,0,0,0,0,0.2
114,united states used veto friday afternoon block security council resolution declaring israel settlement construction west bank illegal u blocks security council censure israeli settlements,0,0.4,0.4,0,1,0,0,0,0,0.4
115,u midfielders stuart holden clint dempsey face weekend jermaine jones lining michael bradley two tantalizing games england next two weekends yanks games midfield,0,0.2,0.2,1,0,0,0,0,0,0.2
116,time scrimp nonsecurity discretionary spending time embrace empire end decadence,1,0.2,0.2,1,0,0,0,0,0,0.2
117,christen press helped stanford third consecutive appearance n c division title game really wants united states national team promising female player stows passport,0,0.2,0.2,1,0,0,0,0,0,0.2
118,usa hockey player registration figures show hockey growing big leaps sun belt shrinking many traditional northern strongholds hockey growing state state,0,0.2,0.2,1,0,0,0,0,0,0.2
119,dream act would given legal status chance citizenship people like isabel castillo given trying get passed dream act advocate turns failure hope,0,0.4,0.4,0,1,0,0,0,0,0.4
120,map american budget reveals unaddressed risks missing solutions budget map reveals troubled future,1,0.4,0.4,0,1,0,0,0,0,0.4
121,american advisers say american military undermined efforts improve relations bahrain shiite majority understated abuses sunni royal family dim view u posture toward bahraini shiites described,0,0.2,0.2,1,0,0,0,0,0,0.2
122,christos bagios senior private banker said arrested connection federal investigation bank work questionable offshore accounts banker said held offshore inquiry,0,0.7,0.7,0,0,0,1,0,0,0.7
123,students science engineering learn value failure even pushed succeed breaking things path breakthroughs,1,0.4,0.4,0,1,0,0,0,0,0.4
124,deeper view america spending priorities long deep view u budget,1,0.4,0.4,0,1,0,0,0,0,0.4
125,deal would consolidate holdings closely held texas energy company duncan energy receives billion offer,0,0.2,0.2,1,0,0,0,0,0,0.2
126,u men national team qualified fifa u world cup th consecutive time defeated el salvador tuesday night montego bay jamaica u u team qualifies world cup,0,0.2,0.2,1,0,0,0,0,0,0.2
127,look thursday matches second tier europa league europa league preview,0,0.2,0.2,1,0,0,0,0,0,0.2
128,supporters boeing questioning fairness bidding eads european rival seems confident win billion contract concerns boeing grow tanker decision nears,0,0.2,0.2,1,0,0,0,0,0,0.2
129,mexican army said detained man suspected shooting death united states immigration customs enforcement agent wounding another last week mexico suspect detained shooting u agent,0,0.2,0.2,1,0,0,0,0,0,0.2
130,president decision stop defending defense marriage act court could serious political consequences obama decision marriage act implications,0,0.4,0.4,0,1,0,0,0,0,0.4
131,peak oil advocates play politics wikileak saudi oil reserves drilling oil crisis,1,0.2,0.2,1,0,0,0,0,0,0.2
132,chinese telecommunications group said american expansion undermined false allegations ties chinese authorities china telecom giant thwarted u deals seeks inquiry clear name,0,0.4,0.4,0,1,0,0,0,0,0.4
133,chris christie sat caucus wednesday morning interview lightning round video christie sits lightning round,0,0.4,0.4,0,1,0,0,0,0,0.4
134,economists think high historical standards impediment growth oil prices high enough completely derail economic recovery prices go much higher bets tipping point oil prices,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
135,getting americans start budgeting responsibly economic goal yet lord make us thrifty yet,0,0.2,0.2,1,0,0,0,0,0,0.2
136,reader responds recent column thomas l friedman tax gasoline,1,0.2,0.2,1,0,0,0,0,0,0.2
137,prospect return gallon gas potential become new headache president gears election rising gas prices pose risks contenders,0,0.49,0.5,0,0,1,0,0,0,0.49
138,noting united states leading importer lions lion parts coalition groups seeks federal listing endangered species list protecting lion u predators,0,0.2,0.2,1,0,0,0,0,0,0.2
139,mike huckabee former governor arkansas said monday would love know president obama born huckabee questions obama birth certificate,0,0.2,0.2,1,0,0,0,0,0,0.2
140,demographic categories nearly tidy way size voting tendencies often made nobody lives one category one big exception politics demographics destiny,0,0.2,0.2,1,0,0,0,0,0,0.2
141,congressional democrats demand answers safety hydraulic fracturing revelations wastewater drilling regularly dumped rivers streams without proper treatment pressure grows answers fracking,0,0.2,0.2,1,0,0,0,0,0,0.2
142,libyan leader may megalomaniacal nut also murderous one mustard gas let ratchet pressure toward peaceful outcome tackle libya,1,0.2,0.2,1,0,0,0,0,0,0.2
143,truth film crew following jon huntsman documentary u china diplomacy video crew huntsman documentary politics,0,0.2,0.2,1,0,0,0,0,0,0.2
144,new report released thursday nielsen market research firm said google android platform become popular operating system among united states smartphone users android pulls ahead smartphone race report says,0,0.5,0.5,0,0,1,0,0,0,0.5
145,free trade complex many economists acknowledge deserves broader debate across society economist writes debate free trade continues,0,0.5,0.5,0,0,1,0,0,0,0.5
146,experts said united states caught demands change region support middle east monarchies bahrainis fear u behind fight democracy,0,0.4,0.4,0,1,0,0,0,0,0.4
147,us people close us help us stick health regimens even medical training health coach know,1,0.2,0.2,1,0,0,0,0,0,0.2
148,billion year military aid washington gives cairo served shore bureaucracy prone corruption egyptian army business side blurs lines u military aid,0,0.4,0.4,0,1,0,0,0,0,0.4
149,three influential senators want united states consider flight zone libya u senators call flight zone libya,0,0.2,0.2,1,0,0,0,0,0,0.2
150,top commanders warned president obama political fallout military intervention libya u weighs options air sea,0,0.2,0.2,1,0,0,0,0,0,0.2
151,eight performances scheduled july mariinsky ballet perform lincoln center festival,0,0.4,0.4,0,1,0,0,0,0,0.4
152,nearly three weeks libya erupted may turn protracted civil war politics military intervention grow complicated day discord fills washington possible libya intervention,0,0.71,0.7,0,0,0,1,0,0,0.71
153,nutritional labels energy use could cut power consumption making every oil calorie count,1,0.2,0.2,1,0,0,0,0,0,0.2
154,every day pressure create facebook page dog casey intensifies dog,0,0.2,0.2,1,0,0,0,0,0,0.2
155,new iphone application designed help blind people identify united states currency real time speaking denomination aloud iphone app helps blind identify currency,0,0.7,0.7,0,0,0,1,0,0,0.7
156,vice president joseph r biden jr meetings russia president called country accession world trade organization important item agenda russia biden says u push russia trade organization,0,0.51,0.5,0,0,1,0,0,0,0.51
157,top american diplomat removed post stirring outrage japan reportedly belittling okinawans state department official said thursday u removes diplomat comments angering japan,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
158,united states men national soccer team numerous versatile players roster perhaps specialists trend toward flexibility targeted expertise become pronounced recent weeks versatility vs specialization american dilemma,0,0.2,0.2,1,0,0,0,0,0,0.2
159,dow closed oil market jitters conflict libya served reminder fragile nature global recovery anxiety oil recovery send shares lower,0,0.4,0.4,0,1,0,0,0,0,0.4
160,scientific review endorses navy concerns security risks attending warming academy endorses navy concerns warming arctic law sea,1,0.2,0.2,1,0,0,0,0,0,0.2
161,price oil increases travelers expected look ways save accommodations marketers say hotel campaigns promote savings memories,0,0.2,0.2,1,0,0,0,0,0,0.2
162,government standards fluorescent bulbs promote innovation help economy let efficient light,1,0.5,0.5,0,0,1,0,0,0,0.5
163,americans tendency toward overconfidence corroding citizenship modesty manifesto,1,0.2,0.2,1,0,0,0,0,0,0.2
164,meeting moscow vice president joseph biden prime minister vladimir putin russia suggested tossing visa requirements two countries putin throws curveball biden suggestion visas,0,0.21000000000000002,0.2,0,1,0,0,0,0,0.21000000000000002
165,national infrastructure bank proposed senator john kerry could bypass current austerity tide master key,1,0.5,0.5,0,0,1,0,0,0,0.5
166,letter editor regarding energy efficiency united states prius prius prius,1,0.2,0.2,1,0,0,0,0,0,0.2
167,united states must promised years ago open american highways approved mexican trucks nafta unfinished business,1,0.2,0.2,1,0,0,0,0,0,0.2
168,fragile bipartisan consensus nuclear power promise united states may dissolved u nuclear industry faces new uncertainty,0,0.2,0.2,1,0,0,0,0,0,0.2
169,japan struggles contain quickly escalating nuclear crisis safety america nuclear plants coming new scrutiny u nuclear plants risks backups japan counterparts,0,0.2,0.2,1,0,0,0,0,0,0.2
170,plus make best decisions week small business start ups surge,0,0.2,0.2,1,0,0,0,0,0,0.2
171,news around world days easy miss good political commentary weekend roundup best quotes best political quotes weekend,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
172,group republicans environmental protection drop word republican name republicans environmental protection endangered species,1,0.2,0.2,1,0,0,0,0,0,0.2
173,democrats seize cuts illustration republican recklessness pursuit reduced federal spending g p cuts could hit tsunami warning system foes say,0,0.2,0.2,1,0,0,0,0,0,0.2
174,prosecutors asking federal judge give prison sentence years former goldman sachs computer programmer convicted stealing proprietary code prosecutors ask years former goldman programmer,0,0.2,0.2,1,0,0,0,0,0,0.2
175,unfolding japanese tragedy prompt americans study plans coping natural disasters potential nuclear plant accidents japan multiple calamities,1,0.2,0.2,1,0,0,0,0,0,0.2
176,rather emphasize differences potential oval office rivals president taking every opportunity embrace members party obama strategy share credit blame,0,0.5,0.5,0,0,1,0,0,0,0.5
177,narcissistic isolated new report detailing decline self reported empathy among young people raises questions relational abilities ignorances empathy decline,1,0.2,0.2,1,0,0,0,0,0,0.2
178,obama administration begun sending drones deep mexico gather intelligence trafficking u drones fight mexican drug trade,0,0.2,0.2,1,0,0,0,0,0,0.2
179,international education study says united states must improve way recruits trains pays teachers u urged raise teachers status,0,0.2,0.2,1,0,0,0,0,0,0.2
180,america social fabric corrupting immigrants america corrupts,1,0.2,0.2,1,0,0,0,0,0,0.2
181,u coach bob bradley wednesday announced man training camp roster two international friendly matches later month bradley picks u roster march friendlies,0,0.2,0.2,1,0,0,0,0,0,0.2
182,prospect deadly siege led white house push united nations authorize strikes specter rebel rout helps shift u policy libya,0,0.4,0.4,0,1,0,0,0,0,0.4
183,two congressional hearings head nuclear regulatory commission said would learn disaster japan nuclear agency tells concerned congress u industry remains safe,0,0.2,0.2,1,0,0,0,0,0,0.2
184,sarah posner left religion dispatches michael brendan dougherty american conservative debate american fear islamic law bloggingheads afraid shariah,1,0.4,0.4,0,1,0,0,0,0,0.4
185,new video republicans portrays president obama talk action confronting soaring deficits video g p hits obama deficit,0,0.2,0.2,1,0,0,0,0,0,0.2
186,ad spending united states fourth quarter increased percent period according kantar media increase percent last year good year ad spending report finds,0,0.30000000000000004,0.30000000000000004,0,1,0,0,0,0,0.30000000000000004
187,solar wind developers also come rely guarantees banking sector grown risk averse u official affirms nuclear loan guarantees,0,0.19,0.2,1,0,0,0,0,0,0.19
188,l season opener los angeles seattle tuesday average match league game statistics tell us league compared top european leagues soccer made u l stands soccermetrically speaking,0,0.4,0.4,0,1,0,0,0,0,0.4
189,report union concerned scientists suggests utilities operating nuclear plants united states need oversight citing near misses report faults nuclear regulators operators,0,0.2,0.2,1,0,0,0,0,0,0.2
190,chinese men women waiting line apple stores new york san francisco hoping buy new ipad resell hefty profit ipad quickly nurtures chinese resale market,0,0.2,0.2,1,0,0,0,0,0,0.2
191,nations around world looking safety nuclear reactors early questions japan,1,0.2,0.2,1,0,0,0,0,0,0.2
192,union concerned scientists watchdog group released report describing serious safety problems nuclear plants u nuclear plants scrutiny report raises safety concerns,0,0.7,0.7,0,0,0,1,0,0,0.7
193,much closer fukushima country americans ever realized american near fukushima,0,0.2,0.2,1,0,0,0,0,0,0.2
194,vote strip npr federal funding early example narrow issues distract lawmakers election season npr vote one many distractions come,0,0.19,0.2,1,0,0,0,0,0,0.19
195,senator jeff bingaman democrat new mexico delivered long floor speech rebutting claims obama administration policies rather middle east uncertainties driven prices senate ally defends obama gas prices,0,0.2,0.2,1,0,0,0,0,0,0.2
196,traces low levels radiation stricken nuclear complex detected sacramento calif european officials reported friday radiation plume reaches u said pose risk,0,0.39,0.4,0,1,0,0,0,0,0.39
197,early reaction president obama speech libya thoughts specter third u war libya suspicious minds,1,0.31000000000000005,0.30000000000000004,0,1,0,0,0,0,0.31000000000000005
198,public deserves much fuller accounting nuclear power pros cons price high,1,0.2,0.2,1,0,0,0,0,0,0.2
199,activists hope rejuvenated protest movement block obama administration push new nuclear construction convince americans existing plants pose dangers japan crisis could rekindle u antinuclear movement,0,0.2,0.2,1,0,0,0,0,0,0.2
200,confidential vote essential passing nuclear pact united states scrutiny bribes nuclear deal india premier says,0,0.2,0.2,1,0,0,0,0,0,0.2
201,mr obama ncaa men basketball bracket stands one best obama n c bracket one best,0,0.2,0.2,1,0,0,0,0,0,0.2
202,year old juan agudelo became first player club academy start game score goal major league soccer agudelo gets red bulls winning start,0,0.2,0.2,1,0,0,0,0,0,0.2
203,bus crash bronx week ago opened window chinese bus business also american immigrant tradition ethnic occupational niche deadly bus crash american tale,0,0.4,0.4,0,1,0,0,0,0,0.4
204,communities across united states organized relief efforts many sister cities japan help u afflicted sister cities japan,0,0.2,0.2,1,0,0,0,0,0,0.2
205,fulham clint dempsey became first american score goals season english premier league yanks abroad dempsey sets record holden hurt,0,0.2,0.2,1,0,0,0,0,0,0.2
