,Unnamed: 0,text,section_name
4441,4441,questioned reporters state department spokeswoman jen psaki called deadly attack kunming terrorist attack chinese state news media accused overseas news agencies failing prodding u state department labels kunming attack terrorism,0
1941,1941,three readers question public benefit long sentences nonviolent crimes alternatives long prison terms,1
8841,8841,b bomber longest serving u military aircraft history although never fought nuclear war designed fought nearly every war evolution b top secret marvel flying fossil,0
9886,9886,said husband abducted april since held houthis despite f b led effort rescued two hostages wife american detained yemen publicly calls release,0
5664,5664,clinton obama together said something forgave would think professional politicians next hillary,1
5170,5170,verizon executive describes company transition away copper networks fiber networks phones,1
7675,7675,abbott maker similac brand said third consumers said infant formula without genetically modified ingredients would bring peace mind similac advance infant formula offered g free,0
500,500,make drug policies humane effective u rehabilitate nonviolent casual drug users undermine power organized crime call global drug war,1
5094,5094,taliban released video shows moment army sgt bowe bergdahl handed united states forces eastern afghanistan taliban video shows bergdahl handover,0
2968,2968,several democratic senators election next year confronting galvanized constituencies view effort tighten gun laws infringement democrats senate confront doubts home gun laws,0
6735,6735,tactics used terror suspects sept attacks crimes perpetrators knew must brought justice prosecute torturers bosses,1
3508,3508,officials said wanted draw attention could become humanitarian tragedy also working preserve obama administration achievement u pushes global eye south sudan conflict,0
5616,5616,anatoly g kucherena lawyer former american intelligence contractor edward snowden said russia granted client three year residence permit snowden lawyer residence status,0
439,439,dispute centers called schneerson library sought hasidic group based brooklyn legal wrangle may keep works russia los angeles show,0
3813,3813,international herald tribune pages november,0
624,624,task force nuclear regulatory commission recommend spent fuel moved pools faster pace evacuation zones expanded spent fuel pools bright spot fukushima crisis,0
1509,1509,looked like president way popularity sinking going wait obama winning,1
932,932,national book foundation mistakenly includes lauren myracle young adult novel shine shortlist says stay competition asks author withdraw agrees coulda contender national book award finalist withdraws mistake,0
8773,8773,today campus movements rooted feeling acute vulnerability student protesters fearful,1
8112,8112,survey pew research center conducted week july ceremony columbia c battle flag lowered sent museum americans support south carolina removal rebel flag poll says,0
7181,7181,mr gallego arizona democrat talked life harvard first family go college military service iraq met wife fraternity date auction ruben gallego ride air force one presidential aside,0
655,655,poll found vast majority muslim americans say loyal country optimistic future even experience discrimination muslims loyal u hopeful poll finds,0
6571,6571,sony pictures entertainment investigating provoked cyberattack including whether ties coming film elicited ire north korea intrusion sony unit prompts shutdown messaging systems,0
3050,3050,senate armed services committee tuesday approved nomination former senator chuck hagel defense secretary sending full senate bitterly divided senate panel backs hagel defense,0
518,518,energy republican leaders remain locked two words goals limits supply wanted republicans responsible oil policy,1
7733,7733,hillary clinton said path little easier women try shatter highest glass ceiling optimistic problem powerful women,1
346,346,highlights frugal traveler great american road trip across u weeks,0
8625,8625,international herald tribune archives united states tries develop rubber supply latin america protecting rubber supply,0
4375,4375,surnames reveal social mobility much slower think ancestors fate,1
6355,6355,ford issues five recalls nissan issues two toyota posts one various defects ford nissan toyota issue recalls,0
315,315,americans century ago looked colors pink blue saw completely differently today slotted differently cultural stereotypes pink blue,1
8758,8758,mrs clinton deliver depth speech thursday council foreign relations new york national security proposals would combat islamic state syria iraq hillary clinton presents plan battle isis,0
673,673,day standard poor downgraded creditworthiness united states government defended decision warned downgrades may come amid criticism downgrade u p fires back,0
9330,9330,representative cathy mcmorris rodgers house republican led effort reach women magazines new media tired defined others g p women speak,0
7498,7498,budget would cut education entitlement programs like medicare ease legislative process end affordable care act republicans house senate agree budget,0
9961,9961,house freedom caucus often odds party leadership seeks maintain influence election donald j trump twist trump victory could defang anti establishment g p caucus,0
483,483,benefits economic stagnation rule rentiers,1
4201,4201,supreme court momentous ruling sex marriage used protect gay jurors expanding power u v windsor,1
1084,1084,support tea party republican party fallen sharply even places considered tea party strongholds according new survey support tea party drops even strongholds survey finds,0
10123,10123,dozens protests held across country sunday americans denounced president trump immigration executive order new york phoenix tens thousands people voiced solidarity refugees muslims protests travel ban sweep country,0
8697,8697,international herald tribune archives antiwar demonstrator sets fire front united nations pacifist sets fire,0
1606,1606,analysts predict reporting starts earnest next week american companies show slowest rate growth operating earnings three years low growth earnings expected,0
3314,3314,antiship cruise missiles could make difficult united states allies impose naval embargo establish fly zone carry airstrikes support syria rebels russia sends advanced missiles aid assad syria,0
6390,6390,republican gains likely add state abortion restrictions two day waiting periods bans weeks conception costly building requirements abortion rights advocates preparing new surge federal state attacks,0
8927,8927,americans apparently missing teeth british medical journal study significant limitations british teeth bad study says,0
5824,5824,united states chamber commerce report beijing aggressive enforcement antimonopoly law raises prospect formal trade complaint china antitrust campaign seen possible breach w rules,0
6234,6234,juan francisco enz tamez apprehended tuesday shopping officials said indictment unsealed day suspected leader mexican drug cartel arrested texas,0
8241,8241,international herald tribune archives u confirms botched c operation rusk letter admits spying,0
6837,6837,inside head tanned rested ready speaker boehner tumultuous first week th congress deano chronicles continued,1
5641,5641,republicans already control percent state legislative seats aim pick half dozen chambers elections year enact policies get traction washington midterms give parties chance sweeping control states,0
1669,1669,use technology keep one another distances control close far right goldilocks effect flight conversation,1
1310,1310,president obama keep focus unfairness inequality fair fair,1
7135,7135,president announced increase job creation also said unemployment rate nationwide especially among african americans remained high work obama announces optimistic jobs figures,0
5196,5196,china education ministry says schools teach sex education number reasons including widespread embarrassment usually passed beijing school parents take sex education class,0
259,259,united states france britain germany called china release ai weiwei internationally known artist increasingly vocal government critic pressure china release dissident artist,0
5790,5790,thousand lawyers joined clemency project group says review cases possibly unjust convictions unreasonably harsh sentences clemency project gears,1
3621,3621,proposal united states new zealand create huge ocean reserve antarctic waters sharply reduced opposition russia nations large fishing industries proposal protect antarctic waters scaled back,0
8051,8051,new polls report issued last week show republicans fail address issue helping business voters bad news climate change deniers,1
3995,3995,president obama quickly adopt new call end ineffective constitutionally dangerous dragnet surveillance turn data vacuum,1
4913,4913,white house moved monday fill long vacant post united states ambassador egypt nominating robert stephen beecroft career diplomat nominee egypt ambassador post,0
311,311,rolls royce spirit ecstasy limited edition vehicles gussied phantom sedan celebrating years company heritage rolls royce reaches pure ecstasy,0
4695,4695,well beyond kansas anti semitism persists oldest hatred forever young,1
6791,6791,russia needs know defiance arms control treaties come cost vital nuclear agreement risk,1
8614,8614,examination traffic stops arrests greensboro n c uncovered wide racial differences measure measure police conduct disproportionate risks driving black,0
5138,5138,prolific fund raiser relationships donors republicans eric cantor defeat could hurt republican fund raising,0
31,31,first interview since major surgery former vice president dick cheney also predicts barack obama one term president cheney considering heart transplant,0
35,35,white house doubt hoping visit white house president hu jintao goes better last one white house looks avoid gaffes chinese visit,0
4860,4860,obama administration monday pledged group million nonlethal assistance syrian opposition delegation given diplomatic status,0
9265,9265,bowing mr bloomberg cited fear three way race could lead election donald j trump michael bloomberg says run president,0
4007,4007,secret documents reveal targets u british surveillance recent years including office israeli prime minister heads international aid organizations n spied allies aid groups businesses,0
7032,7032,russian firm says united states found way permanently embed surveillance sabotage tools computers countries including iran russia pakistan china daily report u said surveillance tools computers overseas,0
8796,8796,let cacophonous feasting right wings turkey left begin king kevin versus queen cersei,1
6131,6131,digital advertising matures sophisticated targeting expanding definition viewer campaigns outside groups finding premium space long booked campaigns find ad space finite even web,0
3265,3265,veteran earth scientist pushes back dystopian depictions global warming human response earth scientist explores biggest climate threat fear,1
4900,4900,highlights international herald tribune archives earthquakes ravage sicily united states seek protect arms factories foreign spies pages may,0
8416,8416,former majority leader says many people republican party understand smart way fight eric cantor g p john boehner,1
8683,8683,justice department allow tribes eight states share state federal records plugging bureaucratic hole allowed offenders reservations buy guns u share criminal records native american police,0
9115,9115,populism seeing stems collision whites flourish global economy parties lost white middle class,1
2273,2273,ever think going politics without run office nothing really happening unless opposition tape become star tracker,1
2072,2072,gabby douglas irrepressibly animated year old rapidly blossomed main competition jordyn wieber stoic year old gymnastics world champion team worlds apart,0
7792,7792,stands democrats rejection trans pacific partnership go mistake extensive long lasting repercussions democratic tea party,1
7061,7061,caring sister teaching years serving legislator representative alma adams democrat north carolina ready stop lawmaking art professor unfinished work,0
7082,7082,senate judiciary committee expected endorse loretta e lynch nomination attorney general senate panel expected endorse lynch attorney general,0
295,295,pentagon officials said american warplanes continued strike targets libya even obama administration said united states stepping back pentagon says kept strikes libya,0
2184,2184,reo wilde top ranked compound archer world recurve bow type currently used games compound bow sport ugly stepchild still exile,0
6535,6535,representative barbara lee democrat california says congress must debate vote military action mideast voting authorize war,1
80,80,agreed raise funding non governmental organizations independent media conference wednesday organized polish government u e u join show support belarus opposition,0
5369,5369,congress always vacation political fund raisers rick perry sarah palin people lot discuss rant agenda,1
1791,1791,poll suggests consumers willing pay somewhat clean energy definition wraps nuclear power natural gas willing pay little clean energy,0
3315,3315,donors pledged billions help rebuild mali battles militants collapse many institutions raised doubts effort rebuilding mali faces daunting obstacles despite outside aid,0
10029,10029,program called diversion supposed spare low level offenders ruinous consequences criminal record money got way crime price second chance,0
2127,2127,danell leyva yin alvarez leyva stepfather coach closer dream olympic gold medal something two envisioning years gymnastics family longtime vision reach,0
7472,7472,mr biden remarks came obama administration works smooth tensions prime minister benjamin netanyahu biden strikes softer tone israel independence event,0
3151,3151,north korea said friday found new foreign invaders hackers united states allies shutting web sites main tool spreading propaganda abroad north korea sees south u behind cyberstrikes,0
3910,3910,moderates moderates fantasy centrist revolt center cannot hold,1
1758,1758,joseph rodriguez documents life several immigrant families sides u mexico border life sides border,0
119,119,dream act would given legal status chance citizenship people like isabel castillo given trying get passed dream act advocate turns failure hope,0
9502,9502,catalina island california big birthday celebrations bison garibaldi state official marine fish birthday wishes submarine rides catalina island,0
4580,4580,point made civil rights act dignity constitutional principle,1
1684,1684,daily capsule travel news curated writers editors morning walkabout,0
3370,3370,president obama authorized sanctions foreign financial institution conducts significant transactions iranian rial currency iran u adds list sanctions iran,0
6901,6901,despite party losses recent elections president obama laid expansive agenda one triumphed bold call action obama state union even action likely,0
1277,1277,opera supplies prism african americans viewed history variations explosive theme,1
6952,6952,american cuban officials need pragmatic patient untangle relationship laden five decades acrimony resentment mistrust washington havana break ice,1
5608,5608,attack killed least four civilians prompted sharp rebuke president hamid karzai long bristled deaths afghans foreign led military operations afghan civilians killed airstrike american led coalition,0
3540,3540,alert came hours american officials evacuated consulate lahore pakistan also security fears pakistan high alert intercepting threats military sites,0
4687,4687,many members congress rallied cause home state beer makers lobby small brewers concerned rule finds friends washington,0
5846,5846,volkswagen closes plant russia days sales flag bmw announces pricing series convertible wheelies russian shutdown edition,0
9530,9530,administration struggling resettle syrians preparing deport central americans allies advocacy groups say president actions match words u struggles goal admitting syrians,0
8622,8622,public scrutiny challenged politicians want soft pedal even ignore police misconduct political lies police brutality,1
4955,4955,highlights international herald tribune archives american officials discover network microphones u embassy moscow pages may,0
6405,6405,many democrats would turnout resembled presidential election year democrats also lost states turnout surpassed turnout scapegoat always difference time,0
8057,8057,u government forbids overseas asylum applicants bringing legal counsel hearings making process unfair less efficient refugees get lawyers,1
3749,3749,went north korea mixed feelings left believing traveling brings benefits visit hermit kingdom,1
7713,7713,well intentioned moral fervor campuses today often slides dangerous type zealotry campus crusaders,1
3739,3739,look back realize much changed half century since president kennedy visited last king ireland,1
3352,3352,members generation x catching prepare retirement generation x hit hardest recession,0
2960,2960,bureau labor statistics said percentage american workers labor unions fell percent last year lowest since percent share work force union falls year low,0
3149,3149,president obama used congratulatory call china new president discuss loss american intellectual property cyberattacks cyberattacks topic obama call new chinese president,0
7826,7826,early optimism businesses advocates engagement increasingly finding genuine normalization still aspiration reality door opens slightly cuba businesses face difficulty getting,0
304,304,several finance ministers hailed deal milestone efforts increase china accountability concerns nations u china agree process analyze risks economies worldwide,0
5798,5798,responses opinion articles mideast turmoil dealing iraq syria isis,1
321,321,since every network share camera feeds royal wedding friday competition fierce air talent make coverage stand u networks add britons royal wedding coverage,0
1954,1954,members new york city jails action coalition agree editorial practice solitary confinement,1
3570,3570,america best young chess players moving ranks earning grandmaster international master titles summer successes america young stars,0
2464,2464,several nations adopted proposed range limits high speed trading saying learned problems united states markets beyond wall st curbs high speed trades proceed,0
7496,7496,new guidelines envision expanded role japanese forces announced day prime minister shinzo abe japan visit white house japan u set new rules military cooperation,0
10102,10102,mr trump would first president since early decline release tax information either summary full partial return trump release tax returns top aide says,0
10178,10178,older americans increasingly turning pot treat aches pains trend raises questions effectiveness safety accessibility retirement comes daily dose cannabis,0
8737,8737,campus radicals often spoiled self dramatizing also something protest crisis universities deserve,1
621,621,christopher louis pia accused trying manipulate prices palladium platinum futures contracts new york mercantile exchange trading practice known banging close ex moore trader pays million fine settle market manipulation case,0
4477,4477,let help states health care online enrollment problems impugn efforts republicans harassment troubled state exchanges,1
6307,6307,tight budgets job vacancies make hard predict next hurricane sandy failing weather infrastructure,1
9908,9908,nicholas kristof annual win trip winner reports meth inequality drugs around every day,1
9321,9321,recommendations religious liberty advisory council predictable predictably disturbing ted cruz terrifying approach religious liberty,1
9812,9812,reader says wrong conflate patriotism ritual patriotism means,1
7333,7333,watch tv hours crave education let prisoners take college courses,1
9693,9693,already split mr trump endorsing paul ryan mr pence told virginia television news station would also support two snubbed republican senators donald trump mike pence diverge endorsements,0
1886,1886,angelo took stage last night bonnaroo making first appearance united states since end tour bonnaroo angelo back u,0
3181,3181,sam querrey loss tomas berdych meant would first time since sony open began american man would reach quarterfinals querrey loss completes u shutout,0
9775,9775,first major issue deal zika virus military spending future r commissioner sept bill also table menu congress returns recess,0
1740,1740,russian officials said previously antimissile sites could become targets event war threat pre emptive attack sites eastern europe new russian general makes threat missile defense sites,0
4681,4681,democrats races help determine control senate burning campaign cash fend attacks conservative groups big g p donors stir senate runs,0
8634,8634,germany foreign minister iran deputy foreign minister spoke wednesday iran said would participate international talks syrian crisis scheduled october vienna officials react iran joining talks,0
3837,3837,united states national team played exhibition game scotland seemed meaningless everyone american players u scotland game chance evaluate young talent,0
3905,3905,dozens party supporters living united states elsewhere around world reaching voters delhi state elections wednesday nonresident indians play major role aam aadmi party delhi campaign,0
2859,2859,lawmakers trudged back washington ostensibly work deal avoid large tax increases spending cuts set take effect days summoned back work senators chafe inaction,0
1111,1111,huge blast destroyed major missile testing site three weeks ago major blow iran advanced long range missile program experts officials said explosion seen big setback iran missile program,0
3429,3429,reporting snowden whereabouts june updates snowden asylum pursuit,0
8449,8449,ragtag group fighters america europe joined fight extremists syria little training clear leadership know meet american vigilantes fighting isis,0
10125,10125,questions directive abound vague constitutional effectively muslim ban president overreaching trump immigration order tests limits law executive power,0
4975,4975,documents obtained gay rights group offer new details views drove federal government sometimes obsessive effort identify fire gays government jobs uncovered papers show past government efforts drive gays jobs,0
2684,2684,representative nancy pelosi california agreed return house minority leader john boehner ohio expected elected speaker house pelosi think walking away job minority leader,0
9704,9704,archives international herald tribune russia united states agree treaty peaceful uses space august u space accord russia,0
10169,10169,senate panel least moment chief responsibility getting bottom events surrounding resignation michael flynn foreign meddling election pressure senate intelligence committee deliver russia inquiry,0
373,373,new government study says nearly one children almost one americans ages asthma asthma rate rises sharply u government says,0
9359,9359,fish wildlife service wants allow many birds depicted annual license stamps changing long tradition depicting birds hunted plan change beloved stamp ruffling feathers,0
4607,4607,announcement million people signed plans affordable care act came obama administration braced escalated political battle ahead midterm elections obama claims victory push insurance,0
7524,7524,whitney museum inaugural exhibition defines american art inclusive even america american beauty wherever,1
8880,8880,new york city muslims respond donald trump call bar followers islam entering united states know know heart,0
9261,9261,social injustice income inequality perpetual warfare eat away national spirit end american idealism,1
7538,7538,readers respond column nicholas kristof importance numeracy students average math abilities,1
3679,3679,pakistanis ask drones still flying drones flying despite u shutdown,0
2522,2522,china struck back tuesday bipartisan congressional report says two leading chinese telecom companies pose potential national security threat united states house report also said growing economic espionage united states conducted supported government beijing china slams cold war mentality u report,0
8570,8570,decision comes seoul accused concealing u refused transfer crucial technology help country develop fighter jet south korea replaces top security adviser fighter jet program,0
4049,4049,united states falling dangerously behind offering high speed affordable broadband service according technology experts recent studies u struggles keep pace delivering broadband service,0
6264,6264,heads trade groups representing short term lenders credit unions respond editorial endorsing rate cap protecting public predatory loans,1
1512,1512,unions may benefiting ruling allowing super pacs still want activities curtailed unions urge curtailment super pacs,0
1877,1877,mitt romney debuts new stump speech gets enthusiastic reception romney says deceptive obama chance,0
9298,9298,mr trump super duper tuesday victory speech uncut uncensored political substance abuse donald trump florida,1
5972,5972,today politics obama u n republican governors money machine newt gingrich c span flub today politics,0
7203,7203,people claim certain accusations racism exaggerated seek condemn shut debate scalding hot charge stop playing race card card,1
4823,4823,renewed debate death penalty procedures also minute black women hairstyles army scientific evidence walking increases creativity times minute botched execution,0
8606,8606,vladimir v putin russian president said united states officials suggested considering unifying efforts regard conflict syria putin u cooperation syria,0
6393,6393,president said heard voters tuesday get stuff done pointed areas thinks agreement could reached mr obama offer republicans,1
9946,9946,trump election tempting give moment stay engaged time keep fighting,1
3881,3881,toyo tire rubber company nd firm charged justice department largest antitrust investigation involved dozens conspiracies fix prices car parts toyo tire agrees penalty price fixing conspiracy,0
7861,7861,relatives amir hekmati marine veteran imprisoned iran nearly four years traveling vienna talks held iran nuclear deal iran captive family tries new appeal,0
